epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,927.023,1.64646,2.92934,1.9653,0.3391,0.32346,0.2723,0.0921,2.07902,3.52038,2.94633,0.000548543,0.000548543,0.000548543
2,1996.29,1.58815,2.57137,1.92532,0.28006,0.46102,0.21851,0.06718,2.33345,3.50649,3.1247,0.00106048,0.00106048,0.00106048
3,3432.11,1.65175,2.43967,1.98531,0.30592,0.27867,0.18577,0.05678,2.30773,3.78633,3.04579,0.00152841,0.00152841,0.00152841
4,4485.02,1.63568,2.32595,1.943,0.19391,0.32048,0.15767,0.0449,2.38008,3.41771,3.59241,0.00146896,0.00146896,0.00146896
5,5406.33,1.61024,2.20061,1.912,0.52102,0.48673,0.38784,0.14701,2.22039,2.39148,3.01281,0.00140295,0.00140295,0.00140295
6,6223.06,1.58122,2.19256,1.89266,0.41072,0.42048,0.29941,0.09189,2.12754,2.77044,2.90332,0.00133693,0.00133693,0.00133693
7,7063.75,1.53363,2.12669,1.85966,0.50072,0.42175,0.44788,0.17165,2.21713,2.17393,2.68796,0.00127092,0.00127092,0.00127092
8,8100.76,1.52593,2.01661,1.83352,0.60364,0.45734,0.52468,0.20382,1.90805,2.56395,2.50072,0.00120491,0.00120491,0.00120491
9,9060.67,1.52049,1.9525,1.81588,0.56105,0.61384,0.53852,0.21266,1.92112,2.15743,2.45477,0.00113889,0.00113889,0.00113889
10,10017.3,1.48384,1.88493,1.78997,0.50842,0.52939,0.55494,0.23,1.98013,2.18471,2.57478,0.00107288,0.00107288,0.00107288
11,10856.4,1.46151,1.82433,1.7949,0.57357,0.53842,0.51859,0.20557,1.96372,1.9606,2.73706,0.00100687,0.00100687,0.00100687
12,11905.6,1.41097,1.78752,1.76845,0.61142,0.52127,0.60028,0.24578,1.97411,1.95328,2.52599,0.000940855,0.000940855,0.000940855
13,13525.4,1.40264,1.76496,1.74657,0.62948,0.62912,0.59229,0.21589,2.11715,1.96123,2.66129,0.000874842,0.000874842,0.000874842
14,14541,1.3769,1.72949,1.73373,0.69504,0.68202,0.66923,0.3002,1.9065,1.51247,2.52031,0.000808828,0.000808828,0.000808828
15,15432.7,1.3885,1.72886,1.73608,0.58012,0.67331,0.65195,0.31127,1.90587,1.57948,2.47953,0.000742815,0.000742815,0.000742815
16,16356.8,1.42157,1.41388,1.99593,0.72013,0.61328,0.68071,0.32602,1.79347,1.59827,2.45867,0.000676802,0.000676802,0.000676802
17,17186.9,1.4001,1.29482,1.98072,0.64864,0.68227,0.68306,0.32638,1.8125,1.47207,2.4199,0.000610789,0.000610789,0.000610789
18,18005.7,1.36722,1.19306,1.91523,0.71501,0.73011,0.75735,0.38912,1.78276,1.21469,2.41734,0.000544776,0.000544776,0.000544776
19,18831.5,1.36837,1.14433,1.92917,0.76353,0.70565,0.74655,0.37735,1.74762,1.29486,2.31861,0.000478762,0.000478762,0.000478762
20,19862.2,1.29971,1.07582,1.87194,0.79462,0.74768,0.77879,0.39164,1.77014,1.15627,2.34587,0.000412749,0.000412749,0.000412749
21,20704.3,1.28863,1.07734,1.85381,0.80484,0.76483,0.78914,0.41269,1.70947,1.17599,2.26373,0.000346736,0.000346736,0.000346736
22,21543.2,1.27831,1.0046,1.81857,0.81908,0.76475,0.77838,0.4019,1.77471,1.16536,2.32945,0.000280723,0.000280723,0.000280723
23,22559.2,1.24657,0.96341,1.80475,0.80412,0.76511,0.77712,0.39537,1.70856,1.15428,2.26663,0.00021471,0.00021471,0.00021471
24,23472.8,1.21983,0.93734,1.78002,0.80762,0.74914,0.78879,0.41345,1.70282,1.14065,2.24802,0.000148696,0.000148696,0.000148696
25,24535.8,1.17245,0.90675,1.74187,0.80156,0.76483,0.79242,0.4254,1.65404,1.0852,2.22176,8.26832e-05,8.26832e-05,8.26832e-05
