epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1212.83,1.3608,1.67108,1.68276,0.68271,0.73065,0.70333,0.34966,1.81758,1.35188,2.36872,0.000548543,0.000548543,0.000548543
2,2093.55,1.36585,1.56011,1.71647,0.56712,0.58757,0.59205,0.2357,2.04307,1.74004,2.65345,0.00106048,0.00106048,0.00106048
3,3313.81,1.4077,1.65302,1.75997,0.56783,0.57264,0.57116,0.23363,2.03219,1.67159,2.62101,0.00152841,0.00152841,0.00152841
4,4087.82,1.41193,1.66318,1.76488,0.58899,0.60593,0.56044,0.23376,1.99039,1.85118,2.58872,0.00146896,0.00146896,0.00146896
5,4834.78,1.41471,1.65771,1.74295,0.66698,0.61455,0.59704,0.27475,2.02698,1.82627,2.62028,0.00140295,0.00140295,0.00140295
6,5577.01,1.40962,1.67767,1.74954,0.54714,0.60733,0.55975,0.2322,2.02205,1.93729,2.66141,0.00133693,0.00133693,0.00133693
7,6317.34,1.41919,1.6595,1.75527,0.7301,0.69591,0.72821,0.31366,2.01215,1.49499,2.59079,0.00127092,0.00127092,0.00127092
8,7069.62,1.35227,1.58823,1.68831,0.79568,0.65593,0.69797,0.32611,1.91543,1.52543,2.47739,0.00120491,0.00120491,0.00120491
9,7824.34,1.36746,1.56968,1.70989,0.75236,0.68621,0.72851,0.32694,1.86046,1.42619,2.42476,0.00113889,0.00113889,0.00113889
10,8568.69,1.33707,1.51499,1.67923,0.66614,0.72626,0.68857,0.32018,1.87247,1.47429,2.50108,0.00107288,0.00107288,0.00107288
11,9311.83,1.32496,1.49402,1.69369,0.72152,0.68178,0.70235,0.32538,1.85396,1.40741,2.48909,0.00100687,0.00100687,0.00100687
12,10067.3,1.29239,1.46393,1.66009,0.67732,0.76762,0.70006,0.27543,2.00588,1.57615,2.53973,0.000940855,0.000940855,0.000940855
13,10816.5,1.27733,1.46647,1.64337,0.7229,0.66081,0.706,0.30445,1.94496,1.45276,2.47922,0.000874842,0.000874842,0.000874842
14,11578.4,1.26206,1.42138,1.64063,0.71932,0.67203,0.69489,0.3223,2.00027,1.34974,2.50131,0.000808828,0.000808828,0.000808828
15,12397.7,1.26749,1.44652,1.63987,0.70876,0.71483,0.70558,0.34567,1.79599,1.3478,2.3302,0.000742815,0.000742815,0.000742815
16,13177.4,1.27801,1.09887,1.86051,0.72895,0.72288,0.68715,0.34792,1.86619,1.22015,2.46659,0.000676802,0.000676802,0.000676802
17,13971.7,1.24881,0.9734,1.81764,0.77424,0.72073,0.77257,0.37148,1.83879,1.21379,2.39148,0.000610789,0.000610789,0.000610789
18,14749.1,1.20588,0.92811,1.75618,0.77985,0.73997,0.76408,0.39253,1.79793,1.15322,2.41554,0.000544776,0.000544776,0.000544776
19,15527.5,1.21461,0.88254,1.77514,0.75787,0.77213,0.77058,0.39311,1.77804,1.09187,2.36431,0.000478762,0.000478762,0.000478762
20,16310.6,1.16275,0.83866,1.7327,0.73452,0.79845,0.74891,0.36529,1.78873,1.15376,2.42005,0.000412749,0.000412749,0.000412749
21,17114,1.14816,0.85373,1.71763,0.76398,0.73969,0.76377,0.38755,1.76963,1.05647,2.35602,0.000346736,0.000346736,0.000346736
22,17854.6,1.14231,0.80594,1.6984,0.81468,0.78128,0.78986,0.40913,1.80107,1.03335,2.40421,0.000280723,0.000280723,0.000280723
23,18590.9,1.12008,0.79193,1.68368,0.78917,0.7418,0.78258,0.41706,1.72779,1.0148,2.30878,0.00021471,0.00021471,0.00021471
24,19329.6,1.09352,0.76794,1.65304,0.83646,0.73933,0.79144,0.414,1.72627,0.99595,2.34199,0.000148696,0.000148696,0.000148696
25,20071.1,1.06339,0.74691,1.634,0.84848,0.72274,0.81374,0.42523,1.74271,0.99877,2.35763,8.26832e-05,8.26832e-05,8.26832e-05
